"","Announcement","Death","Burial","Burial_Day","Burial_Week","Gender","Color","Size","Word_Count","No_of_Children","Significant_Children","Significant_Relatives","Fundraising","Death_to_Burial","Announce_to_Burial","No_of_Relatives","County_Burial","County_Morgue","Distance_Morgue","Cause_of_Death","Married","Spouse_Alive","Spouse_gender","Death_to_Announce"
"1",2017-11-08,2017-11-02,2017-11-17,"5",0,1,1,55.18,179,7,0,0,1,15,9,35,"33","33",1,"2",1,1,0,6
"2",2017-11-08,2017-10-27,2017-11-11,"6",1,0,1,83.6,293,4,0,7,1,15,3,8,"31","31",1,"2",1,1,1,12
"3",2017-11-08,2017-11-01,2017-11-08,"3",0,1,1,109.12,206,4,0,2,0,7,0,7,"28","24",160,"2",1,1,0,7
"4",2017-11-08,2017-10-24,2017-11-09,"4",0,1,1,83.6,171,4,0,0,0,16,1,33,"32","32",20,"2",1,0,0,15
"5",2017-11-08,2017-11-02,2017-11-11,"6",1,0,0,55.18,150,1,0,4,1,9,3,17,"17","22",20,"1",1,0,1,6
"6",2017-11-08,2017-11-02,2017-11-09,"4",0,0,1,55.18,174,4,1,7,0,7,1,19,"6","10",1,"2",1,0,1,6
"7",2017-11-07,2017-10-18,2017-11-10,"5",0,0,1,145.96,450,11,1,0,0,23,3,115,"27","23",67,"2",1,1,1,20
"8",2017-11-07,2017-11-02,2017-11-09,"4",0,1,1,55.18,154,7,0,0,0,7,2,2,"23","23",1,"2",1,0,0,5
"9",2017-11-07,2017-11-03,2017-11-11,"6",1,1,1,55.18,2014,3,0,0,0,8,4,24,"29","23",58,"2",1,1,0,4
"10",2017-11-07,2017-11-02,2017-11-11,"6",1,0,1,84.55,236,19,3,7,1,9,4,26,"3","23",113,"2",1,0,1,5
"11",2017-11-07,2017-10-30,2017-11-08,"3",1,1,1,159.6,172,11,0,0,0,9,1,0,"2","23",1,"2",1,0,0,8
"13",2017-11-08,2017-10-18,2017-11-11,"6",1,1,1,68.53,240,9,0,0,0,24,3,27,"14","23",84,"2",1,1,0,21
"14",2017-11-08,2017-10-29,2017-11-10,"5",0,1,1,66.88,200,4,0,1,0,12,2,18,"22","23",155,"2",1,1,0,10
"15",2017-11-07,2017-11-01,2017-11-08,"3",0,1,1,53.68,172,8,0,0,0,7,1,11,"22","23",155,"2",1,0,0,6
"16",2017-11-07,2017-10-31,2017-11-10,"5",0,0,1,54.56,138,7,0,0,0,10,3,4,"6","6",1,"2",1,0,1,7
"17",2017-11-07,2017-10-24,2017-11-10,"5",0,1,1,81.7,184,4,3,0,0,17,3,13,"23","23",1,"2",1,0,0,14
"18",2017-11-07,2017-11-01,2017-11-08,"3",0,0,1,83.52,171,3,1,1,0,7,1,27,"8","15",153,"2",1,1,1,6
"19",2017-11-07,2017-11-01,2017-11-10,"5",0,0,1,55.44,200,8,5,2,0,9,3,19,"28","28",1,"2",1,0,1,6
"20",2017-11-07,2017-11-02,2017-11-14,"2",0,0,1,85.44,199,10,9,0,1,12,7,7,"22","11",134,"2",1,0,1,5
"21",2017-11-07,2017-11-01,2017-11-09,"4",0,0,0,55.44,164,2,0,0,0,8,2,17,"11","11",1,"2",1,1,1,6
"23",2017-11-07,2017-10-30,2017-11-11,"6",1,0,1,55.44,185,3,0,0,1,12,4,17,"12","21",103,"2",1,0,1,8
"24",2017-11-07,2017-10-29,2017-11-11,"6",1,0,1,154.1,267,4,2,0,1,13,4,29,"9","33",171,"2",1,1,1,9
"25",2017-11-08,2017-11-01,2017-11-10,"5",0,1,1,54.56,146,13,0,0,0,9,2,15,"24","24",1,"2",1,0,0,7
"26",2017-11-08,2017-11-03,2017-11-11,"4",0,1,1,83.6,233,5,5,0,0,8,3,12,"22","23",156,"2",1,1,0,5
"27",2017-11-08,2017-11-03,2017-11-10,"5",0,1,1,54.56,24,0,0,1,0,7,2,6,"29","29",1,"2",0,0,0,5
"28",2017-11-08,2017-10-30,2017-11-10,"5",0,1,1,84.48,159,2,1,0,0,11,2,8,"22","23",156,"2",1,1,0,9
"29",2017-11-08,2017-11-04,2017-11-10,"5",0,1,1,84.48,153,6,0,0,0,6,2,14,"11","11",1,"2",1,1,0,4
"30",2017-11-08,2017-10-28,2017-11-10,"5",0,0,1,84.48,270,3,0,0,1,13,2,25,"7","24",112,"2",1,1,1,11
"31",2017-11-08,2017-10-31,2017-11-11,"6",1,1,1,54.56,197,0,0,0,1,11,3,38,"4","23",124,"2",0,0,0,8
"32",2017-11-07,2017-11-01,2017-11-08,"3",0,1,1,54.56,191,8,0,0,0,7,1,12,"11","13",1,"2",1,1,0,6
"33",2017-11-07,2017-10-22,2017-11-10,"5",0,0,1,63.36,269,4,1,0,0,19,3,57,"20","20",1,"2",1,0,1,16
"34",2017-11-07,2017-10-28,2017-11-11,"4",0,0,1,55.18,146,8,0,0,0,14,4,7,"13","21",25,"2",1,0,1,10
"36",2017-11-01,2017-10-24,2017-11-03,"5",0,0,1,56.07,178,1,0,0,0,10,2,32,"23","23",1,"2",1,1,1,8
"37",2017-11-01,2017-10-28,2017-11-03,"5",0,0,1,145.96,202,0,0,6,0,6,2,29,"23","23",1,"1",0,0,0,4
"38",2017-01-07,2017-01-05,2017-01-10,"2",0,0,0,443.88,282,9,3,0,0,5,3,21,"11","23",1,"2",1,0,1,2
"39",2017-11-03,2017-10-30,2017-11-11,"4",0,0,1,154.86,214,4,0,1,0,12,8,25,"28","23",160,"2",1,1,1,4
"40",2016-11-27,2016-11-20,2016-11-30,"3",0,0,1,144.32,172,6,0,0,0,10,3,14,"13","23",139,"1",1,0,1,7
"41",2017-11-08,2017-11-05,2017-11-10,"5",0,1,1,67.76,182,5,0,0,0,5,2,9,"29","29",1,"2",1,1,0,3
"42",2017-11-08,2017-10-31,2017-11-10,"5",0,1,1,55.18,231,16,0,0,0,10,2,19,"6","6",1,"2",1,1,0,8
"45",2017-11-01,2017-10-28,2017-11-04,"6",1,0,1,55.18,153,0,0,0,1,7,3,5,"18","23",16,"2",0,0,0,4
"50",2017-11-03,2017-10-30,2017-11-07,"2",0,0,1,54.56,252,5,0,14,1,8,4,1,"22","23",122,"2",1,1,1,4
"51",2017-11-03,2017-10-24,2017-11-04,"6",1,1,1,54.56,142,3,2,0,0,11,1,16,"22","23",122,"2",1,1,0,10
"52",2017-11-03,2017-10-24,2017-11-04,"6",1,1,1,54.56,114,5,0,2,0,11,1,11,"9","23",160,"2",1,1,0,10
"54",2017-01-07,2017-01-01,2017-01-11,"6",1,1,1,84.48,251,9,0,0,0,10,4,21,"16","23",92,"2",1,1,0,6
"56",2017-10-30,2017-10-18,2017-11-01,"3",0,1,1,84.48,230,8,0,2,0,14,2,10,"23","23",1,"2",1,0,0,12
"57",2017-10-30,2017-10-20,2017-11-03,"5",0,1,1,54.56,193,1,0,2,1,14,4,2,"23","23",1,"1",1,1,0,10
"58",2017-01-07,2017-01-02,2017-01-12,"4",0,0,1,54.56,117,5,1,1,0,10,5,16,"29","23",24,"2",0,0,0,5
"59",2017-10-31,2017-10-25,2017-11-02,"4",0,0,1,54.56,234,7,0,0,0,8,2,34,"22","23",154,"2",1,1,1,6
"60",2017-10-31,2017-10-24,2017-11-03,"5",0,0,1,54.56,188,2,0,0,1,10,3,9,"23","23",1,"2",0,0,0,7
"62",2017-10-31,2017-10-18,2017-11-04,"6",1,0,1,110,262,6,0,0,1,17,4,20,"30","23",112,"2",1,0,1,13
"63",2017-10-31,2017-10-10,2017-11-03,"5",0,0,1,84.48,270,3,0,1,1,24,3,29,"27","23",73,"2",1,1,1,21
"64",2017-10-31,2017-10-10,2017-11-04,"6",1,0,1,54.56,149,2,0,0,0,25,4,14,"9","11",1,"2",1,1,1,21
"65",2017-10-31,2017-10-28,2017-11-02,"4",0,0,1,84.48,152,2,0,0,0,5,2,15,"11","11",1,"2",1,1,1,3
"66",2017-10-31,2017-10-21,2017-11-04,"6",1,1,1,145.96,194,0,0,0,1,14,4,67,"1","24",105,"1",0,0,0,10
"67",2017-10-31,2017-10-26,2017-11-02,"4",0,0,1,84.48,231,6,0,1,0,7,2,21,"11","11",1,"2",1,1,1,5
"68",2017-10-31,2017-10-21,2017-11-04,"6",1,0,1,67.76,221,8,1,0,0,14,4,28,"13","23",99,"2",1,0,1,10
"69",2017-10-31,2017-10-29,2017-11-03,"5",0,1,1,54.56,294,6,1,3,1,5,3,110,"13","23",73,"2",1,1,0,2
"71",2017-10-31,2017-10-17,2017-11-01,"3",0,0,1,84.48,273,6,0,0,0,15,1,33,"31","23",45,"2",1,1,1,14
"72",2017-01-07,2017-01-04,2017-01-11,"3",0,0,1,111.25,279,10,2,0,0,7,4,19,"11","23",75,"2",1,0,1,3
"74",2016-11-27,2016-12-22,2017-01-09,"1",0,1,1,68.53,157,6,2,0,0,18,43,3,"28","23",19,"2",1,1,0,-25
"75",2016-11-27,2016-11-20,2016-12-02,"5",0,1,0,109.12,287,9,8,0,1,12,5,33,"30","28",160,"2",1,1,0,7
"76",2017-10-30,2017-10-25,2017-11-01,"3",0,1,1,84.48,178,0,0,2,0,7,2,10,"23","23",1,"2",1,1,0,5
"78",2017-10-30,2017-10-22,2017-10-31,"2",0,0,1,218.7,202,5,0,1,0,9,1,18,"11","23",78,"2",1,1,1,8
"79",2017-10-30,2017-10-19,2017-11-03,"5",0,0,1,218.7,550,3,0,3,0,15,4,28,"29","23",1,"2",0,0,0,11
"82",2017-10-30,2017-10-21,2017-11-04,"6",1,1,1,128.16,332,21,12,13,1,14,5,110,"29","33",17,"2",1,0,0,9
"83",2017-10-30,2017-10-27,2017-11-01,"3",0,0,1,128.16,172,0,0,3,0,5,2,40,"13","17",72,"2",0,0,0,3
"84",2017-10-30,2017-10-24,2017-11-03,"5",0,0,1,54.56,175,2,2,2,0,10,4,13,"23","23",1,"2",1,0,1,6
"86",2017-11-27,2017-11-21,2017-11-29,"3",0,1,1,85.44,242,8,7,3,0,8,2,48,"12","12",1,"2",1,1,0,6
"89",2017-10-31,2017-10-26,2017-11-04,"6",1,0,0,84.48,134,4,0,0,1,9,4,8,"23","24",71,"2",1,0,1,5
"90",2017-10-31,2017-10-25,2017-11-02,"4",0,1,1,110,247,9,1,0,0,8,2,22,"11","17",1,"2",1,1,0,6
"91",2017-10-31,2017-10-21,2017-11-03,"5",0,1,0,84.48,181,3,0,0,0,13,3,4,"18","23",1,"2",1,1,0,10
"93",2017-11-01,2017-10-22,2017-11-02,"4",0,1,0,54.56,150,16,0,0,0,11,1,85,"13","13",1,"2",1,1,0,10
"94",2017-11-01,2017-10-25,2017-11-04,"6",1,0,0,67.76,272,9,6,6,1,10,3,20,"17","17",1,"2",1,0,1,7
"96",2017-11-01,2017-10-27,2017-11-04,"6",1,1,1,54.56,146,4,0,0,0,8,3,14,"15","17",34,"2",1,1,0,5
"102",2017-11-15,2017-11-06,2017-11-18,"6",1,1,0,124.96,140,5,1,2,0,12,3,2,"29","33",32,"2",1,1,0,9
"103",2017-11-15,2017-11-02,2017-11-18,"6",1,1,1,54.56,238,7,0,0,1,16,3,23,"22","23",142,"2",1,1,0,13
"104",2017-11-15,2017-11-09,2017-11-20,"1",0,1,1,54.56,269,10,12,8,1,11,5,54,"23","14",175,"2",1,0,0,6
"105",2017-11-15,2017-11-11,2017-11-17,"5",0,0,1,54.56,188,5,0,57,0,6,2,70,"23","24",14,"2",1,0,1,4
"106",2017-11-15,2017-11-11,2017-11-17,"5",0,0,1,54.56,159,7,0,0,1,6,2,6,"23","23",22,"2",0,0,0,4
"108",2017-11-02,2017-10-25,2017-11-10,"5",0,0,1,67.76,261,3,3,4,1,16,8,23,"13","23",69,"2",1,1,1,8
"109",2017-11-02,2017-10-21,2017-11-04,"6",1,1,1,54.56,190,3,0,0,0,14,2,40,"30","24",134,"2",1,1,0,12
"110",2017-11-02,2017-10-16,2017-11-04,"6",1,0,1,67.76,234,0,0,5,0,19,2,26,"30","23",109,"2",0,0,0,17
"111",2017-11-02,2017-10-30,2017-11-04,"6",1,0,1,84.48,183,8,3,0,0,5,2,7,"22","22",1,"2",1,0,1,3
"112",2017-11-02,2017-10-28,2017-11-04,"6",1,1,1,54.56,183,4,0,2,0,7,2,15,"17","17",1,"1",1,1,0,5
