"","Announcement","Death","Burial","Burial_Day","Burial_Week","Gender","Color","Size","Word_Count","No_of_Children","Significant_Children","Significant_Relatives","Fundraising","Death_to_Burial","Announce_to_Burial","No_of_Relatives","County_Burial","County_Morgue","Distance_Morgue","Cause_of_Death","Married","Spouse_Alive","Spouse_gender","Death_to_Announce"
"977",2017-05-03,2017-04-29,2017-05-05,"5",0,0,1,86.24,173,9,2,57,1,4,6,2,"27","23",99,"2",1,0,1,4
"978",2017-05-03,2017-04-30,2017-09-05,"2",0,0,1,158.4,328,3,0,22,1,3,9,6,"12","23",10,"2",1,1,1,3
"979",2017-05-03,2017-04-26,2017-04-05,"4",1,1,1,110,227,4,0,23,1,7,8,1,"24","23",10,"2",1,1,0,7
"980",2017-05-03,2017-04-28,2017-05-05,"5",0,1,1,56.32,170,0,0,7,1,5,7,2,"11","23",37,"1",1,1,0,5
"982",2017-05-03,2017-04-28,2017-05-05,"5",0,1,1,56.32,112,3,0,13,1,5,7,2,"22","23",134,"1",0,0,0,5
"983",2017-05-03,2017-04-28,2017-06-05,"6",0,0,1,61.6,271,7,0,36,1,5,8,3,"31","23",38,"2",1,0,1,5
"984",2017-05-03,2017-04-25,2017-04-05,"4",1,1,0,64.28,224,10,0,19,1,8,9,1,"11","13",1,"2",1,0,0,8
"989",2017-05-03,2017-01-05,2017-10-05,"3",0,1,1,140.8,216,3,0,11,1,2,9,7,"15","23",172,"2",1,1,0,118
"990",2017-05-03,2017-04-22,2017-06-05,"6",1,0,1,56.32,138,5,0,31,1,11,14,3,"9","23",107,"2",1,1,1,11
"991",2017-05-03,2017-04-23,2017-04-05,"4",0,1,1,56.32,183,3,0,54,1,10,11,1,"27","23",79,"1",1,1,0,10
"992",2017-05-03,2017-01-05,2017-09-05,"2",0,1,1,56.32,182,3,0,0,1,2,8,6,"28","23",21,"2",1,1,0,118
"995",2017-11-08,2017-10-27,2017-11-11,"6",1,0,1,83.6,293,4,0,7,1,15,3,8,"31","31",1,"2",1,1,1,12
"997",2017-11-08,2017-10-24,2017-11-09,"4",0,1,1,83.6,171,4,0,0,1,16,1,33,"32","32",1,"2",1,0,0,15
"999",2017-02-15,2017-02-11,2017-02-18,"6",1,1,1,110.48,177,5,3,2,1,7,3,15,"28","28",1,"2",1,1,0,4
"1000",2017-02-15,2017-12-06,2017-02-17,"5",0,1,1,88.24,156,0,0,1,1,-292,2,22,"24","21",151,"2",0,0,0,-294
"1001",2017-02-15,2017-02-10,2017-02-16,"4",0,0,1,84.78,220,0,0,0,1,6,1,12,"29","11",20,"2",0,0,0,5
"1002",2017-02-15,2017-01-31,2017-02-18,"6",1,1,1,109.1,340,5,0,0,1,18,3,30,"30","24",51,"1",1,1,0,15
"1003",2017-02-15,2017-02-14,2017-02-16,"4",0,1,1,113.4,116,3,3,7,1,2,1,16,"23","23",34,"2",1,1,0,1
"1004",2017-02-15,2017-02-03,2017-02-17,"5",0,0,1,86.72,280,8,4,3,1,14,2,19,"14","14",1,"2",1,0,1,12
"1005",2017-02-15,2017-02-12,2017-02-18,"6",1,1,1,104.66,275,4,0,0,1,6,3,16,"33","33",1,"2",1,0,0,3
"1006",2017-02-15,2017-02-09,2017-02-19,"7",1,0,1,104.66,278,3,0,0,1,10,4,24,"7","23",94,"2",1,1,1,6
"1007",2017-02-15,2017-02-10,2017-02-17,"5",0,1,1,104.66,190,12,1,0,1,7,2,19,"17","11",1,"2",1,1,0,5
"1009",2017-02-15,2017-02-10,2017-02-17,"5",0,0,1,112,234,6,1,1,1,7,2,15,"11","14",1,"2",1,1,1,5
"1011",2017-02-15,2017-02-06,2017-02-24,"5",0,0,0,116.22,330,9,0,2,1,18,9,33,"7","23",1,"2",1,0,1,9
"1012",2017-02-15,2017-02-13,2017-02-18,"6",1,1,1,118.44,348,0,0,8,1,5,3,26,"9","23",92,"2",0,0,0,2
"1013",2017-02-15,2017-01-31,2017-02-18,"6",1,0,0,104.68,245,5,0,1,1,18,3,31,"30","23",108,"2",1,1,1,15
"1014",2017-02-15,2017-02-06,2017-02-18,"6",1,1,1,108.34,192,9,0,0,1,12,3,16,"1","23",1,"2",1,1,0,9
"1016",2017-02-15,2017-02-07,2017-02-18,"6",1,0,1,104.64,148,10,2,2,1,11,3,16,"27","27",1,"2",1,1,1,8
"1018",2017-02-15,2017-02-08,2017-02-18,"6",1,0,1,100.24,158,1,0,0,1,10,3,23,"3","23",110,"2",1,1,1,7
"1019",2017-02-15,2017-02-11,2017-02-18,"6",1,1,1,102.74,99,9,0,0,1,7,3,10,"11","23",27,"1",1,1,0,4
"1020",2017-02-15,2017-02-09,2017-02-16,"4",0,1,0,108.02,156,7,1,4,1,7,1,23,"13","13",1,"2",1,1,0,6
"1022",2017-02-15,2017-02-09,2017-02-24,"5",0,0,0,83.4,374,3,1,2,1,15,9,46,"10","10",1,"2",1,0,1,6
"1024",2017-02-15,2017-02-09,2017-02-18,"6",1,0,1,98.44,242,21,0,0,1,9,3,4,"9","9",1,"2",0,0,0,6
"1025",2017-02-15,2017-02-10,2017-02-17,"5",0,1,1,83.36,190,2,1,0,1,7,2,19,"29","29",1,"2",1,1,0,5
"1026",2017-02-15,2017-02-09,2017-02-17,"5",0,1,1,88.48,120,7,3,0,1,8,2,9,"30","30",1,"2",1,1,0,6
"1028",2017-02-15,2017-02-10,2017-02-17,"5",0,1,1,83.16,198,7,0,0,1,7,2,16,"29","29",1,"2",1,1,0,5
"1029",2017-02-15,2017-02-12,2017-02-18,"6",1,0,1,88.14,160,6,0,0,1,6,3,23,"9","9",1,"2",1,1,1,3
"1032",2017-02-15,2017-02-11,2017-02-17,"5",0,1,1,84.46,198,4,0,0,1,6,2,18,"24","24",1,"2",1,1,0,4
"1033",2017-02-15,2017-02-10,2017-02-17,"5",0,1,1,110.09,217,4,0,0,1,7,2,9,"29","29",1,"2",1,1,0,5
"1034",2017-02-15,2017-02-08,2017-02-16,"4",0,0,1,100.04,190,6,4,0,1,8,1,13,"16","16",1,"2",1,1,1,7
"1035",2017-02-15,2017-02-09,2017-02-16,"4",0,1,0,108.22,261,6,2,0,1,7,1,32,"10","10",1,"2",1,1,0,6
"1036",2017-02-15,2017-01-25,2017-02-17,"5",0,0,1,102.34,253,2,1,2,1,23,2,44,"7","14",1,"2",1,0,1,21
"1039",2017-02-15,2017-02-10,2017-02-24,"5",0,0,1,110.24,336,14,0,3,1,14,9,36,"13","23",69,"2",1,0,1,5
"1040",2017-02-15,2017-02-13,2017-02-22,"3",0,1,1,116.32,247,5,0,0,1,9,7,12,"22","22",1,"2",1,0,0,2
"1042",2017-03-06,2017-02-28,2017-03-08,"3",0,1,1,87.22,302,3,1,3,1,8,2,12,"23","23",1,"2",1,1,0,6
